date,year,team,opponent,team_score,opponent_score,margin,result,tournament
2007-03-17,2007,Wales,England,27,18,9,Win,2007 Six Nations Championship
2007-05-26,2007,Argentina,Ireland,22,20,2,Win,2007 June rugby union tests
2007-05-26,2007,Australia,Wales,29,23,6,Win,2007 Wales tour of Australia
2007-05-26,2007,England,South Africa,10,58,-48,Loss,2007 England rugby union tour of South Africa
2007-05-26,2007,Ireland,Argentina,20,22,-2,Loss,2007 June rugby union tests
2007-05-26,2007,South Africa,England,58,10,48,Win,2007 England rugby union tour of South Africa
2007-05-26,2007,Wales,Australia,23,29,-6,Loss,2007 Wales tour of Australia
2007-06-02,2007,Argentina,Ireland,16,0,16,Win,2007 June rugby union tests
2007-06-02,2007,Australia,Wales,31,0,31,Win,2007 Wales tour of Australia
2007-06-02,2007,England,South Africa,22,55,-33,Loss,2007 England rugby union tour of South Africa
2007-06-02,2007,France,New Zealand,11,42,-31,Loss,2007 mid-year rugby union tests
2007-06-02,2007,Ireland,Argentina,0,16,-16,Loss,2007 June rugby union tests
2007-06-02,2007,New Zealand,France,42,11,31,Win,2007 mid-year rugby union tests
2007-06-02,2007,South Africa,England,55,22,33,Win,2007 England rugby union tour of South Africa
2007-06-02,2007,Wales,Australia,0,31,-31,Loss,2007 Wales tour of Australia
2007-06-09,2007,Argentina,Italy,24,6,18,Win,2007 mid year test
2007-06-09,2007,France,New Zealand,10,61,-51,Loss,2007 mid-year rugby union tests
2007-06-09,2007,Italy,Argentina,6,24,-18,Loss,2007 mid year test
2007-06-09,2007,New Zealand,France,61,10,51,Win,2007 mid-year rugby union tests
2007-06-16,2007,Australia,South Africa,19,22,-3,Loss,2007 Tri Nations Series
2007-06-16,2007,South Africa,Australia,22,19,3,Win,2007 Tri Nations Series
2007-06-23,2007,New Zealand,South Africa,26,21,5,Win,2007 Tri Nations Series
2007-06-23,2007,South Africa,New Zealand,21,26,-5,Loss,2007 Tri Nations Series
2007-06-30,2007,Australia,New Zealand,20,15,5,Win,2007 Tri Nations Series
2007-06-30,2007,New Zealand,Australia,15,20,-5,Loss,2007 Tri Nations Series
2007-07-07,2007,Australia,South Africa,25,17,8,Win,2007 Tri Nations Series
2007-07-07,2007,South Africa,Australia,17,25,-8,Loss,2007 Tri Nations Series
2007-07-14,2007,New Zealand,South Africa,33,6,27,Win,2007 Tri Nations Series
2007-07-14,2007,South Africa,New Zealand,6,33,-27,Loss,2007 Tri Nations Series
2007-07-21,2007,Australia,New Zealand,12,26,-14,Loss,2007 Tri Nations Series
2007-07-21,2007,New Zealand,Australia,26,12,14,Win,2007 Tri Nations Series
2007-08-04,2007,England,Wales,62,5,57,Win,2007 Rugby World Cup warm-up
2007-08-04,2007,Wales,England,5,62,-57,Loss,2007 Rugby World Cup warm-up
2007-08-11,2007,England,France,15,21,-6,Loss,2007 Rugby World Cup warm-up
2007-08-11,2007,France,England,21,15,6,Win,2007 Rugby World Cup warm-up
2007-08-11,2007,Ireland,Scotland,21,31,-10,Loss,2007 Rugby World Cup warm-up tests
2007-08-18,2007,Argentina,Wales,20,27,-7,Loss,2007 Rugby World Cup warm-up match
2007-08-18,2007,England,France,9,22,-13,Loss,2007 Rugby World Cup warm-up
2007-08-18,2007,France,England,22,9,13,Win,2007 Rugby World Cup warm-up
2007-08-18,2007,Wales,Argentina,27,20,7,Win,2007 Rugby World Cup warm-up match
2007-08-24,2007,Ireland,Italy,23,20,3,Win,2007 Rugby World Cup warm-up tests
2007-08-24,2007,Italy,Ireland,20,23,-3,Loss,2007 Rugby World Cup warm-up tests
2007-08-25,2007,South Africa,Scotland,27,3,24,Win,2007 Rugby World Cup warm-up test
2007-08-26,2007,France,Wales,34,7,27,Win,2007 Rugby World Cup warm-up match
2007-08-26,2007,Wales,France,7,34,-27,Loss,2007 Rugby World Cup warm-up match
2007-09-07,2007,Argentina,France,17,12,5,Win,2007 Rugby World Cup Pool match
2007-09-07,2007,France,Argentina,12,17,-5,Loss,2007 Rugby World Cup Pool match
2007-09-08,2007,Italy,New Zealand,14,76,-62,Loss,2007 Rugby World Cup
2007-09-08,2007,New Zealand,Italy,76,14,62,Win,2007 Rugby World Cup
2007-09-14,2007,England,South Africa,0,36,-36,Loss,2007 Rugby World Cup Pool Stage
2007-09-14,2007,South Africa,England,36,0,36,Win,2007 Rugby World Cup Pool Stage
2007-09-15,2007,Australia,Wales,32,20,12,Win,2007 Rugby World Cup Pool match
2007-09-15,2007,Wales,Australia,20,32,-12,Loss,2007 Rugby World Cup Pool match
2007-09-21,2007,France,Ireland,25,3,22,Win,2007 Rugby World Cup
2007-09-21,2007,Ireland,France,3,25,-22,Loss,2007 Rugby World Cup
2007-09-23,2007,New Zealand,Scotland,40,0,40,Win,2007 Rugby World Cup Pool Match
2007-09-29,2007,Italy,Scotland,16,18,-2,Loss,2007 Rugby World Cup
2007-09-30,2007,Argentina,Ireland,30,15,15,Win,2007 Rugby World Cup
2007-09-30,2007,Ireland,Argentina,15,30,-15,Loss,2007 Rugby World Cup
2007-10-06,2007,Australia,England,10,12,-2,Loss,2007 Rugby World Cup Quarter-final
2007-10-06,2007,England,Australia,12,10,2,Win,2007 Rugby World Cup Quarter-final
2007-10-06,2007,France,New Zealand,20,18,2,Win,2007 Rugby World Cup
2007-10-06,2007,New Zealand,France,18,20,-2,Loss,2007 Rugby World Cup
2007-10-07,2007,Argentina,Scotland,19,13,6,Win,2007 Rugby World Cup Quarter-finals
2007-10-13,2007,England,France,14,9,5,Win,2007 Rugby World Cup semi-final
2007-10-13,2007,France,England,9,14,-5,Loss,2007 Rugby World Cup semi-final
2007-10-14,2007,Argentina,South Africa,13,37,-24,Loss,2007 Rugby World Cup Semi-finals
2007-10-14,2007,South Africa,Argentina,37,13,24,Win,2007 Rugby World Cup Semi-finals
2007-10-19,2007,Argentina,France,34,10,24,Win,2007 Rugby World Cup Bronze Final
2007-10-19,2007,France,Argentina,10,34,-24,Loss,2007 Rugby World Cup Bronze Final
2007-10-20,2007,England,South Africa,6,15,-9,Loss,2007 Rugby World Cup Final
2007-10-20,2007,South Africa,England,15,6,9,Win,2007 Rugby World Cup Final
2007-11-24,2007,South Africa,Wales,34,12,22,Win,2007 end-of-year test
2007-11-24,2007,Wales,South Africa,12,34,-22,Loss,2007 end-of-year test
2008-02-02,2008,England,Wales,19,26,-7,Loss,2008 Six Nations Championship
2008-02-02,2008,Ireland,Italy,16,11,5,Win,2008 Six Nations Championship
2008-02-02,2008,Italy,Ireland,11,16,-5,Loss,2008 Six Nations Championship
2008-02-02,2008,Wales,England,26,19,7,Win,2008 Six Nations Championship
2008-02-03,2008,France,Scotland,27,6,21,Win,2008 Six Nations Championship
2008-02-09,2008,France,Ireland,26,21,5,Win,2008 Six Nations Championship
2008-02-09,2008,Ireland,France,21,26,-5,Loss,2008 Six Nations Championship
2008-02-09,2008,Wales,Scotland,30,15,15,Win,2008 Six Nations Championship
2008-02-10,2008,England,Italy,23,19,4,Win,2008 Six Nations Championship
2008-02-10,2008,Italy,England,19,23,-4,Loss,2008 Six Nations Championship
2008-02-23,2008,England,France,24,13,11,Win,2008 Six Nations Championship
2008-02-23,2008,France,England,13,24,-11,Loss,2008 Six Nations Championship
2008-02-23,2008,Ireland,Scotland,34,13,21,Win,2008 Six Nations Championship
2008-02-23,2008,Italy,Wales,8,47,-39,Loss,2008 Six Nations
2008-02-23,2008,Wales,Italy,47,8,39,Win,2008 Six Nations
2008-03-08,2008,England,Scotland,9,15,-6,Loss,2008 Six Nations Championship
2008-03-08,2008,Ireland,Wales,12,16,-4,Loss,2008 Six Nations Championship
2008-03-08,2008,Wales,Ireland,16,12,4,Win,2008 Six Nations Championship
2008-03-09,2008,France,Italy,25,13,12,Win,2008 Six Nations Championship
2008-03-09,2008,Italy,France,13,25,-12,Loss,2008 Six Nations Championship
2008-03-15,2008,England,Ireland,33,10,23,Win,2008 Six Nations Championship
2008-03-15,2008,France,Wales,12,29,-17,Loss,2008 Six Nations Championship
2008-03-15,2008,Ireland,England,10,33,-23,Loss,2008 Six Nations Championship
2008-03-15,2008,Italy,Scotland,23,20,3,Win,2008 Six Nations Championship
2008-03-15,2008,Wales,France,29,12,17,Win,2008 Six Nations Championship
2008-06-07,2008,Argentina,Scotland,21,15,6,Win,2008 Scotland tour of Argentina
2008-06-07,2008,Ireland,New Zealand,11,21,-10,Loss,2008 Ireland rugby union tour of New Zealand and Australia
2008-06-07,2008,New Zealand,Ireland,21,11,10,Win,2008 Ireland rugby union tour of New Zealand and Australia
2008-06-07,2008,South Africa,Wales,43,17,26,Win,2008 Wales tour of South Africa
2008-06-07,2008,Wales,South Africa,17,43,-26,Loss,2008 Wales tour of South Africa
2008-06-14,2008,Argentina,Scotland,14,26,-12,Loss,2008 Scotland tour of Argentina
2008-06-14,2008,Australia,Ireland,18,12,6,Win,2008 Summer International
2008-06-14,2008,England,New Zealand,20,37,-17,Loss,2008 England rugby union tour of New Zealand
2008-06-14,2008,Ireland,Australia,12,18,-6,Loss,2008 Summer International
2008-06-14,2008,New Zealand,England,37,20,17,Win,2008 England rugby union tour of New Zealand
2008-06-14,2008,South Africa,Wales,37,21,16,Win,2008 Wales tour of South Africa
2008-06-14,2008,Wales,South Africa,21,37,-16,Loss,2008 Wales tour of South Africa
2008-06-21,2008,England,New Zealand,12,44,-32,Loss,2008 England rugby union tour of New Zealand
2008-06-21,2008,Italy,South Africa,0,26,-26,Loss,2008 mid-year test
2008-06-21,2008,New Zealand,England,44,12,32,Win,2008 England rugby union tour of New Zealand
2008-06-21,2008,South Africa,Italy,26,0,26,Win,2008 mid-year test
2008-06-28,2008,Argentina,Italy,12,13,-1,Loss,2008 mid year test
2008-06-28,2008,Australia,France,34,13,21,Win,2008 France tour of Australia
2008-06-28,2008,France,Australia,13,34,-21,Loss,2008 France tour of Australia
2008-06-28,2008,Italy,Argentina,13,12,1,Win,2008 mid year test
2008-07-05,2008,Australia,France,40,10,30,Win,2008 France tour of Australia
2008-07-05,2008,France,Australia,10,40,-30,Loss,2008 France tour of Australia
2008-07-05,2008,New Zealand,South Africa,19,8,11,Win,2008 Tri Nations Series
2008-07-05,2008,South Africa,New Zealand,8,19,-11,Loss,2008 Tri Nations Series
2008-07-12,2008,New Zealand,South Africa,28,30,-2,Loss,2008 Tri Nations Series
2008-07-12,2008,South Africa,New Zealand,30,28,2,Win,2008 Tri Nations Series
2008-07-19,2008,Australia,South Africa,16,9,7,Win,2008 Tri Nations Series
2008-07-19,2008,South Africa,Australia,9,16,-7,Loss,2008 Tri Nations Series
2008-07-26,2008,Australia,New Zealand,34,19,15,Win,2008 Tri Nations Series
2008-07-26,2008,New Zealand,Australia,19,34,-15,Loss,2008 Tri Nations Series
2008-08-02,2008,Australia,New Zealand,10,39,-29,Loss,2008 Tri Nations Series
2008-08-02,2008,New Zealand,Australia,39,10,29,Win,2008 Tri Nations Series
2008-08-09,2008,Argentina,South Africa,9,63,-54,Loss,2008 mid-year test
2008-08-09,2008,South Africa,Argentina,63,9,54,Win,2008 mid-year test
2008-08-16,2008,New Zealand,South Africa,19,0,19,Win,2008 Tri Nations Series
2008-08-16,2008,South Africa,New Zealand,0,19,-19,Loss,2008 Tri Nations Series
2008-08-23,2008,Australia,South Africa,27,15,12,Win,2008 Tri Nations Series
2008-08-23,2008,South Africa,Australia,15,27,-12,Loss,2008 Tri Nations Series
2008-08-30,2008,Australia,South Africa,8,53,-45,Loss,2008 Tri Nations Series
2008-08-30,2008,South Africa,Australia,53,8,45,Win,2008 Tri Nations Series
2008-09-13,2008,Australia,New Zealand,24,28,-4,Loss,2008 Tri Nations Series
2008-09-13,2008,New Zealand,Australia,28,24,4,Win,2008 Tri Nations Series
2008-11-01,2008,Australia,New Zealand,14,19,-5,Loss,2008 Autumn International
2008-11-01,2008,New Zealand,Australia,19,14,5,Win,2008 Autumn International
2008-11-08,2008,Argentina,France,6,12,-6,Loss,2008 Autumn International
2008-11-08,2008,Australia,Italy,30,20,10,Win,"2008 Australia tour of Great Britain, France and Italy"
2008-11-08,2008,France,Argentina,12,6,6,Win,2008 Autumn International
2008-11-08,2008,Italy,Australia,20,30,-10,Loss,"2008 Australia tour of Great Britain, France and Italy"
2008-11-08,2008,New Zealand,Scotland,32,6,26,Win,2008 end of year rugby tests
2008-11-08,2008,South Africa,Wales,20,15,5,Win,2008 end-of-year test
2008-11-08,2008,Wales,South Africa,15,20,-5,Loss,2008 end-of-year test
2008-11-15,2008,Argentina,Italy,22,14,8,Win,2008 end of year tests
2008-11-15,2008,Australia,England,28,14,14,Win,2008 Autumn International
2008-11-15,2008,England,Australia,14,28,-14,Loss,2008 Autumn International
2008-11-15,2008,Ireland,New Zealand,3,22,-19,Loss,2008 Autumn International
2008-11-15,2008,Italy,Argentina,14,22,-8,Loss,2008 end of year tests
2008-11-15,2008,New Zealand,Ireland,22,3,19,Win,2008 Autumn International
2008-11-15,2008,South Africa,Scotland,14,10,4,Win,2008 Autumn International
2008-11-22,2008,Argentina,Ireland,3,17,-14,Loss,2008 Autumn Internationals
2008-11-22,2008,Australia,France,18,13,5,Win,2008 Autumn International
2008-11-22,2008,England,South Africa,6,42,-36,Loss,2008 Autumn International
2008-11-22,2008,France,Australia,13,18,-5,Loss,2008 Autumn International
2008-11-22,2008,Ireland,Argentina,17,3,14,Win,2008 Autumn Internationals
2008-11-22,2008,New Zealand,Wales,29,9,20,Win,2008 Autumn International
2008-11-22,2008,South Africa,England,42,6,36,Win,2008 Autumn International
2008-11-22,2008,Wales,New Zealand,9,29,-20,Loss,2008 Autumn International
2008-11-29,2008,Australia,Wales,18,21,-3,Loss,2008 Autumn International
2008-11-29,2008,England,New Zealand,6,32,-26,Loss,2008 Autumn International
2008-11-29,2008,New Zealand,England,32,6,26,Win,2008 Autumn International
2008-11-29,2008,Wales,Australia,21,18,3,Win,2008 Autumn International
2009-02-07,2009,England,Italy,36,11,25,Win,2009 Six Nations Championship
2009-02-07,2009,France,Ireland,21,30,-9,Loss,2009 Six Nations Championship
2009-02-07,2009,Ireland,France,30,21,9,Win,2009 Six Nations Championship
2009-02-07,2009,Italy,England,11,36,-25,Loss,2009 Six Nations Championship
2009-02-08,2009,Wales,Scotland,26,13,13,Win,2009 Six Nations Championship
2009-02-14,2009,England,Wales,15,23,-8,Loss,2009 Six Nations Championship
2009-02-14,2009,France,Scotland,22,13,9,Win,2009 Six Nations Championship
2009-02-14,2009,Wales,England,23,15,8,Win,2009 Six Nations Championship
2009-02-15,2009,Ireland,Italy,38,9,29,Win,2009 Six Nations Championship
2009-02-15,2009,Italy,Ireland,9,38,-29,Loss,2009 Six Nations Championship
2009-02-27,2009,France,Wales,21,16,5,Win,2009 Six Nations Championship
2009-02-27,2009,Wales,France,16,21,-5,Loss,2009 Six Nations Championship
2009-02-28,2009,England,Ireland,13,14,-1,Loss,2009 Six Nations Championship
2009-02-28,2009,Ireland,England,14,13,1,Win,2009 Six Nations Championship
2009-02-28,2009,Italy,Scotland,6,26,-20,Loss,2009 Six Nations Championship
2009-03-14,2009,Ireland,Scotland,22,15,7,Win,2009 Six Nations Championship
2009-03-14,2009,Italy,Wales,15,20,-5,Loss,2009 Six Nations
2009-03-14,2009,Wales,Italy,20,15,5,Win,2009 Six Nations
2009-03-15,2009,England,France,34,10,24,Win,2009 Six Nations Championship
2009-03-15,2009,France,England,10,34,-24,Loss,2009 Six Nations Championship
2009-03-21,2009,England,Scotland,26,12,14,Win,2009 Six Nations Championship
2009-03-21,2009,France,Italy,50,8,42,Win,2009 Six Nations Championship
2009-03-21,2009,Ireland,Wales,17,15,2,Win,2009 Six Nations Championship
2009-03-21,2009,Italy,France,8,50,-42,Loss,2009 Six Nations Championship
2009-03-21,2009,Wales,Ireland,15,17,-2,Loss,2009 Six Nations Championship
2009-06-06,2009,Argentina,England,15,37,-22,Loss,2009 Summer International
2009-06-06,2009,England,Argentina,37,15,22,Win,2009 Summer International
2009-06-13,2009,Argentina,England,24,22,2,Win,2009 Summer International
2009-06-13,2009,Australia,Italy,31,8,23,Win,2009 Summer International
2009-06-13,2009,England,Argentina,22,24,-2,Loss,2009 Summer International
2009-06-13,2009,France,New Zealand,27,22,5,Win,2009 mid-year rugby union tests
2009-06-13,2009,Italy,Australia,8,31,-23,Loss,2009 Summer International
2009-06-13,2009,New Zealand,France,22,27,-5,Loss,2009 mid-year rugby union tests
2009-06-20,2009,Australia,Italy,34,12,22,Win,2009 Summer International
2009-06-20,2009,France,New Zealand,10,14,-4,Loss,2009 mid-year rugby union tests
2009-06-20,2009,Italy,Australia,12,34,-22,Loss,2009 Summer International
2009-06-20,2009,New Zealand,France,14,10,4,Win,2009 mid-year rugby union tests
2009-06-27,2009,Australia,France,22,6,16,Win,2009 Summer International
2009-06-27,2009,France,Australia,6,22,-16,Loss,2009 Summer International
2009-06-27,2009,Italy,New Zealand,6,27,-21,Loss,2009 mid-year internationals
2009-06-27,2009,New Zealand,Italy,27,6,21,Win,2009 mid-year internationals
2009-07-18,2009,Australia,New Zealand,16,22,-6,Loss,2009 Tri Nations Series
2009-07-18,2009,New Zealand,Australia,22,16,6,Win,2009 Tri Nations Series
2009-07-25,2009,New Zealand,South Africa,19,28,-9,Loss,2009 Tri Nations Series
2009-07-25,2009,South Africa,New Zealand,28,19,9,Win,2009 Tri Nations Series
2009-08-01,2009,New Zealand,South Africa,19,31,-12,Loss,2009 Tri Nations Series
2009-08-01,2009,South Africa,New Zealand,31,19,12,Win,2009 Tri Nations Series
2009-08-08,2009,Australia,South Africa,17,29,-12,Loss,2009 Tri Nations Series
2009-08-08,2009,South Africa,Australia,29,17,12,Win,2009 Tri Nations Series
2009-08-22,2009,Australia,New Zealand,18,19,-1,Loss,2009 Tri Nations Series
2009-08-22,2009,New Zealand,Australia,19,18,1,Win,2009 Tri Nations Series
2009-08-29,2009,Australia,South Africa,25,32,-7,Loss,2009 Tri Nations Series
2009-08-29,2009,South Africa,Australia,32,25,7,Win,2009 Tri Nations Series
2009-09-05,2009,Australia,South Africa,21,6,15,Win,2009 Tri Nations Series
2009-09-05,2009,South Africa,Australia,6,21,-15,Loss,2009 Tri Nations Series
2009-09-12,2009,New Zealand,South Africa,29,32,-3,Loss,2009 Tri Nations Series
2009-09-12,2009,South Africa,New Zealand,32,29,3,Win,2009 Tri Nations Series
2009-09-19,2009,Australia,New Zealand,6,33,-27,Loss,2009 Tri Nations Series
2009-09-19,2009,New Zealand,Australia,33,6,27,Win,2009 Tri Nations Series
2009-10-31,2009,Australia,New Zealand,19,32,-13,Loss,2009 Autumn International
2009-10-31,2009,New Zealand,Australia,32,19,13,Win,2009 Autumn International
2009-11-07,2009,Australia,England,18,9,9,Win,2009 Autumn International
2009-11-07,2009,England,Australia,9,18,-9,Loss,2009 Autumn International
2009-11-07,2009,New Zealand,Wales,19,12,7,Win,2009 Autumn International
2009-11-07,2009,Wales,New Zealand,12,19,-7,Loss,2009 Autumn International
2009-11-13,2009,France,South Africa,20,13,7,Win,2009 end of year rugby union tests
2009-11-13,2009,South Africa,France,13,20,-7,Loss,2009 end of year rugby union tests
2009-11-14,2009,Argentina,England,9,16,-7,Loss,2009 Autumn International
2009-11-14,2009,England,Argentina,16,9,7,Win,2009 Autumn International
2009-11-14,2009,Italy,New Zealand,6,20,-14,Loss,2009 end-of-year internationals
2009-11-14,2009,New Zealand,Italy,20,6,14,Win,2009 end-of-year internationals
2009-11-15,2009,Australia,Ireland,20,20,0,Draw,2009 Autumn International
2009-11-15,2009,Ireland,Australia,20,20,0,Draw,2009 Autumn International
2009-11-21,2009,Argentina,Wales,16,33,-17,Loss,2009 Autumn International
2009-11-21,2009,Australia,Scotland,8,9,-1,Loss,2009 Autumn International
2009-11-21,2009,England,New Zealand,6,19,-13,Loss,2009 Autumn International
2009-11-21,2009,Italy,South Africa,10,32,-22,Loss,2009 end-of-year test
2009-11-21,2009,New Zealand,England,19,6,13,Win,2009 Autumn International
2009-11-21,2009,South Africa,Italy,32,10,22,Win,2009 end-of-year test
2009-11-21,2009,Wales,Argentina,33,16,17,Win,2009 Autumn International
2009-11-28,2009,Argentina,Scotland,9,6,3,Win,2009 Autumn International
2009-11-28,2009,Australia,Wales,33,12,21,Win,2009 Autumn International
2009-11-28,2009,France,New Zealand,12,39,-27,Loss,2009 end of year rugby union tests
2009-11-28,2009,Ireland,South Africa,15,10,5,Win,2009 end-of-year test
2009-11-28,2009,New Zealand,France,39,12,27,Win,2009 end of year rugby union tests
2009-11-28,2009,South Africa,Ireland,10,15,-5,Loss,2009 end-of-year test
2009-11-28,2009,Wales,Australia,12,33,-21,Loss,2009 Autumn International
2010-02-06,2010,England,Wales,30,17,13,Win,2010 Six Nations Championship
2010-02-06,2010,Ireland,Italy,29,11,18,Win,2010 Six Nations Championship
2010-02-06,2010,Italy,Ireland,11,29,-18,Loss,2010 Six Nations Championship
2010-02-06,2010,Wales,England,17,30,-13,Loss,2010 Six Nations Championship
2010-02-07,2010,France,Scotland,18,9,9,Win,2010 Six Nations Championship
2010-02-13,2010,France,Ireland,33,10,23,Win,2010 Six Nations Championship
2010-02-13,2010,Ireland,France,10,33,-23,Loss,2010 Six Nations Championship
2010-02-13,2010,Wales,Scotland,31,24,7,Win,2010 Six Nations Championship
2010-02-14,2010,England,Italy,17,12,5,Win,2010 Six Nations Championship
2010-02-14,2010,Italy,England,12,17,-5,Loss,2010 Six Nations Championship
2010-02-26,2010,France,Wales,26,20,6,Win,2010 Six Nations Championship
2010-02-26,2010,Wales,France,20,26,-6,Loss,2010 Six Nations Championship
2010-02-27,2010,England,Ireland,16,20,-4,Loss,2010 Six Nations Championship
2010-02-27,2010,Ireland,England,20,16,4,Win,2010 Six Nations Championship
2010-02-27,2010,Italy,Scotland,16,12,4,Win,2010 Six Nations Championship
2010-03-13,2010,England,Scotland,15,15,0,Draw,2010 Six Nations Championship
2010-03-13,2010,Ireland,Wales,27,12,15,Win,2010 Six Nations Championship
2010-03-13,2010,Wales,Ireland,12,27,-15,Loss,2010 Six Nations Championship
2010-03-14,2010,France,Italy,46,20,26,Win,2010 Six Nations Championship
2010-03-14,2010,Italy,France,20,46,-26,Loss,2010 Six Nations Championship
2010-03-20,2010,England,France,10,12,-2,Loss,2010 Six Nations Championship
2010-03-20,2010,France,England,12,10,2,Win,2010 Six Nations Championship
2010-03-20,2010,Ireland,Scotland,20,23,-3,Loss,2010 Six Nations Championship
2010-03-20,2010,Italy,Wales,10,33,-23,Loss,2010 Six Nations
2010-03-20,2010,Wales,Italy,33,10,23,Win,2010 Six Nations
2010-06-05,2010,South Africa,Wales,34,31,3,Win,2010 mid-year test
2010-06-05,2010,Wales,South Africa,31,34,-3,Loss,2010 mid-year test
2010-06-12,2010,Argentina,Scotland,16,24,-8,Loss,2010 Scotland tour of Argentina
2010-06-12,2010,Australia,England,27,17,10,Win,2010 England tour of Australia and New Zealand
2010-06-12,2010,England,Australia,17,27,-10,Loss,2010 England tour of Australia and New Zealand
2010-06-12,2010,France,South Africa,17,42,-25,Loss,2010 mid-year test
2010-06-12,2010,Ireland,New Zealand,28,66,-38,Loss,2010 Ireland rugby union tour of New Zealand and Australia
2010-06-12,2010,New Zealand,Ireland,66,28,38,Win,2010 Ireland rugby union tour of New Zealand and Australia
2010-06-12,2010,South Africa,France,42,17,25,Win,2010 mid-year test
2010-06-19,2010,Argentina,Scotland,9,13,-4,Loss,2010 Scotland tour of Argentina
2010-06-19,2010,Australia,England,20,21,-1,Loss,2010 England tour of Australia and New Zealand
2010-06-19,2010,England,Australia,21,20,1,Win,2010 England tour of Australia and New Zealand
2010-06-19,2010,Italy,South Africa,13,29,-16,Loss,2010 mid-year test
2010-06-19,2010,New Zealand,Wales,42,9,33,Win,2010 Wales tour of New Zealand
2010-06-19,2010,South Africa,Italy,29,13,16,Win,2010 mid-year test
2010-06-19,2010,Wales,New Zealand,9,42,-33,Loss,2010 Wales tour of New Zealand
2010-06-26,2010,Argentina,France,41,13,28,Win,2010 Summer International
2010-06-26,2010,Australia,Ireland,22,15,7,Win,2010 Summer International
2010-06-26,2010,France,Argentina,13,41,-28,Loss,2010 Summer International
2010-06-26,2010,Ireland,Australia,15,22,-7,Loss,2010 Summer International
2010-06-26,2010,Italy,South Africa,11,55,-44,Loss,2010 mid-year test
2010-06-26,2010,New Zealand,Wales,29,10,19,Win,2010 Wales tour of New Zealand
2010-06-26,2010,South Africa,Italy,55,11,44,Win,2010 mid-year test
2010-06-26,2010,Wales,New Zealand,10,29,-19,Loss,2010 Wales tour of New Zealand
2010-07-10,2010,New Zealand,South Africa,32,12,20,Win,2010 Tri Nations Series
2010-07-10,2010,South Africa,New Zealand,12,32,-20,Loss,2010 Tri Nations Series
2010-07-17,2010,New Zealand,South Africa,31,17,14,Win,2010 Tri Nations Series
2010-07-17,2010,South Africa,New Zealand,17,31,-14,Loss,2010 Tri Nations Series
2010-07-24,2010,Australia,South Africa,30,13,17,Win,2010 Tri Nations Series
2010-07-24,2010,South Africa,Australia,13,30,-17,Loss,2010 Tri Nations Series
2010-07-31,2010,Australia,New Zealand,28,49,-21,Loss,2010 Tri Nations Series
2010-07-31,2010,New Zealand,Australia,49,28,21,Win,2010 Tri Nations Series
2010-08-07,2010,Australia,New Zealand,10,20,-10,Loss,2010 Tri Nations Series
2010-08-07,2010,New Zealand,Australia,20,10,10,Win,2010 Tri Nations Series
2010-08-21,2010,New Zealand,South Africa,29,22,7,Win,2010 Tri Nations Series
2010-08-21,2010,South Africa,New Zealand,22,29,-7,Loss,2010 Tri Nations Series
2010-08-28,2010,Australia,South Africa,31,44,-13,Loss,2010 Tri Nations Series
2010-08-28,2010,South Africa,Australia,44,31,13,Win,2010 Tri Nations Series
2010-09-04,2010,Australia,South Africa,41,39,2,Win,2010 Tri Nations Series
2010-09-04,2010,South Africa,Australia,39,41,-2,Loss,2010 Tri Nations Series
2010-09-11,2010,Australia,New Zealand,22,23,-1,Loss,2010 Tri Nations Series
2010-09-11,2010,New Zealand,Australia,23,22,1,Win,2010 Tri Nations Series
2010-10-30,2010,Australia,New Zealand,26,24,2,Win,2010 Autumn International
2010-10-30,2010,New Zealand,Australia,24,26,-2,Loss,2010 Autumn International
2010-11-06,2010,Australia,Wales,25,16,9,Win,2010 Autumn International
2010-11-06,2010,England,New Zealand,16,26,-10,Loss,2010 Autumn International
2010-11-06,2010,Ireland,South Africa,21,23,-2,Loss,2010 end-of-year test
2010-11-06,2010,New Zealand,England,26,16,10,Win,2010 Autumn International
2010-11-06,2010,South Africa,Ireland,23,21,2,Win,2010 end-of-year test
2010-11-06,2010,Wales,Australia,16,25,-9,Loss,2010 Autumn International
2010-11-13,2010,Argentina,Italy,22,16,6,Win,2010 end of year tests
2010-11-13,2010,Australia,England,18,35,-17,Loss,2010 Autumn International
2010-11-13,2010,England,Australia,35,18,17,Win,2010 Autumn International
2010-11-13,2010,Italy,Argentina,16,22,-6,Loss,2010 end of year tests
2010-11-13,2010,New Zealand,Scotland,49,3,46,Win,2010 end of year rugby tests
2010-11-13,2010,South Africa,Wales,29,25,4,Win,2010 end-of-year test
2010-11-13,2010,Wales,South Africa,25,29,-4,Loss,2010 end-of-year test
2010-11-20,2010,Argentina,France,9,15,-6,Loss,2010 Autumn International
2010-11-20,2010,Australia,Italy,32,14,18,Win,2010 Autumn International
2010-11-20,2010,France,Argentina,15,9,6,Win,2010 Autumn International
2010-11-20,2010,Ireland,New Zealand,18,38,-20,Loss,2010 Autumn International
2010-11-20,2010,Italy,Australia,14,32,-18,Loss,2010 Autumn International
2010-11-20,2010,New Zealand,Ireland,38,18,20,Win,2010 Autumn International
2010-11-20,2010,South Africa,Scotland,17,21,-4,Loss,2010 Autumn International
2010-11-27,2010,Australia,France,59,16,43,Win,2010 Autumn International
