date,year,team,opponent,team_score,opponent_score,margin,result,tournament
1989-11-04,1989,New Zealand,Wales,34,9,25,Win,"1989 New Zealand tour of Great Britain, Ireland and North America"
1989-11-04,1989,Wales,New Zealand,9,34,-25,Loss,"1989 New Zealand tour of Great Britain, Ireland and North America"
1989-11-11,1989,Australia,France,19,25,-6,Loss,1989 Australia tour of France and Canada
1989-11-11,1989,France,Australia,25,19,6,Win,1989 Australia tour of France and Canada
1989-11-18,1989,Ireland,New Zealand,6,23,-17,Loss,1989 New Zealand rugby union tour of Canada and the British Isles
1989-11-18,1989,New Zealand,Ireland,23,6,17,Win,1989 New Zealand rugby union tour of Canada and the British Isles
1990-01-20,1990,England,Ireland,23,0,23,Win,1990 Five Nations Championship
1990-01-20,1990,France,Wales,29,19,10,Win,1990 Five Nations Championship
1990-01-20,1990,Ireland,England,0,23,-23,Loss,1990 Five Nations Championship
1990-01-20,1990,Wales,France,19,29,-10,Loss,1990 Five Nations Championship
1990-02-03,1990,England,France,26,7,19,Win,1990 Five Nations Championship
1990-02-03,1990,France,England,7,26,-19,Loss,1990 Five Nations Championship
1990-02-03,1990,Ireland,Scotland,10,13,-3,Loss,1990 Five Nations Championship
1990-02-17,1990,England,Wales,34,6,28,Win,1990 Five Nations Championship
1990-02-17,1990,France,Scotland,0,21,-21,Loss,1990 Five Nations Championship
1990-02-17,1990,Wales,England,6,34,-28,Loss,1990 Five Nations Championship
1990-03-03,1990,France,Ireland,31,12,19,Win,1990 Five Nations Championship
1990-03-03,1990,Ireland,France,12,31,-19,Loss,1990 Five Nations Championship
1990-03-03,1990,Wales,Scotland,9,13,-4,Loss,1990 Five Nations Championship
1990-03-17,1990,England,Scotland,7,13,-6,Loss,1990 Five Nations Championship
1990-03-24,1990,Ireland,Wales,14,8,6,Win,1990 Five Nations Championship
1990-03-24,1990,Wales,Ireland,8,14,-6,Loss,1990 Five Nations Championship
1990-06-09,1990,Australia,France,21,9,12,Win,1990 France tour of Australia
1990-06-09,1990,France,Australia,9,21,-12,Loss,1990 France tour of Australia
1990-06-16,1990,New Zealand,Scotland,31,16,15,Win,1990 Scotland rugby union tour of New Zealand
1990-06-23,1990,New Zealand,Scotland,21,18,3,Win,1990 Scotland rugby union tour of New Zealand
1990-06-24,1990,Australia,France,48,31,17,Win,1990 France tour of Australia
1990-06-24,1990,France,Australia,31,48,-17,Loss,1990 France tour of Australia
1990-06-30,1990,Australia,France,19,28,-9,Loss,1990 France tour of Australia
1990-06-30,1990,France,Australia,28,19,9,Win,1990 France tour of Australia
1990-07-21,1990,Australia,New Zealand,6,21,-15,Loss,1990 Australia tour of New Zealand
1990-07-21,1990,New Zealand,Australia,21,6,15,Win,1990 Australia tour of New Zealand
1990-07-28,1990,Argentina,England,12,25,-13,Loss,1990 England tour of Argentina
1990-07-28,1990,England,Argentina,25,12,13,Win,1990 England tour of Argentina
1990-08-04,1990,Argentina,England,15,13,2,Win,1990 England tour of Argentina
1990-08-04,1990,Australia,New Zealand,17,27,-10,Loss,1990 Australia tour of New Zealand
1990-08-04,1990,England,Argentina,13,15,-2,Loss,1990 England tour of Argentina
1990-08-04,1990,New Zealand,Australia,27,17,10,Win,1990 Australia tour of New Zealand
1990-08-18,1990,Australia,New Zealand,21,9,12,Win,1990 Australia tour of New Zealand
