date,year,team,opponent,team_score,opponent_score,margin,result,tournament,elo_pre,elo_post,elo_delta
1988-05-29,1988,Australia,England,22,16,6,Win,1988 England tour of Australia and Fiji,1472.9715939182286,1487.9198207624431,14.94822684421456
1988-05-29,1988,England,Australia,16,22,-6,Loss,1988 England tour of Australia and Fiji,1471.7724000431754,1457.4690387229218,-14.303361320253543
1988-06-11,1988,New Zealand,Wales,54,9,45,Win,1988 Wales tour of New Zealand,1595.5645844490148,1607.1685189689742,11.603934519959466
1988-06-11,1988,Wales,New Zealand,9,54,-45,Loss,1988 Wales tour of New Zealand,1515.51671352567,1504.3843402190291,-11.13237330664083
1988-06-12,1988,Australia,England,28,8,20,Win,1988 England tour of Australia and Fiji,1487.9198207624431,1501.608510731243,13.688689968799963
1988-06-12,1988,England,Australia,8,28,-20,Loss,1988 England tour of Australia and Fiji,1457.4690387229218,1444.3645062058547,-13.104532517067128
1988-06-18,1988,Argentina,France,15,18,-3,Loss,1988 France tour of South America,1513.3452023021177,1500.7404804563912,-12.604721845726544
1988-06-18,1988,France,Argentina,18,15,3,Win,1988 France tour of South America,1569.3044468072205,1581.382139977235,12.077693170014527
1988-06-25,1988,France,Argentina,6,18,-12,Loss,1988 France tour of South America,1581.382139977235,1562.9617620835068,-18.4203778937283
1988-06-25,1988,Argentina,France,18,6,12,Win,1988 France tour of South America,1500.7404804563912,1518.398434183479,17.657953727087715
1988-07-03,1988,Australia,New Zealand,7,32,-25,Loss,1988 New Zealand tour of Australia,1501.608510731243,1491.0306626369975,-10.57784809424561
1988-07-03,1988,New Zealand,Australia,32,7,25,Win,1988 New Zealand tour of Australia,1607.1685189689742,1617.3332122699248,10.164693300950603
1988-07-16,1988,Australia,New Zealand,19,19,0,Draw,1988 New Zealand tour of Australia,1491.0306626369975,1496.2554291058493,5.22476646885184
1988-07-16,1988,New Zealand,Australia,19,19,0,Draw,1988 New Zealand tour of Australia,1617.3332122699248,1612.3076781716593,-5.0255340982655525
1988-07-30,1988,Australia,New Zealand,9,30,-21,Loss,1988 New Zealand tour of Australia,1496.2554291058493,1486.087423633844,-10.168005472005234
1988-07-30,1988,New Zealand,Australia,30,9,21,Win,1988 New Zealand tour of Australia,1612.3076781716593,1622.0860338607965,9.778355689137243
1988-11-05,1988,Argentina,France,9,29,-20,Loss,1988 Argentina tour of France,1518.398434183479,1505.3119060083288,-13.086528175150079
